,Age,Years of Experience,Bachelor,High_School,Master,PhD,Female,Male,Other,Salary
0,32.0,5.0,1,0,0,0,0,1,0,90000.0
1,28.0,3.0,0,0,1,0,1,0,0,65000.0
2,45.0,15.0,0,0,0,1,0,1,0,150000.0
3,36.0,7.0,1,0,0,0,1,0,0,60000.0
4,52.0,20.0,0,0,1,0,0,1,0,200000.0
5,29.0,2.0,1,0,0,0,0,1,0,55000.0
6,42.0,12.0,0,0,1,0,1,0,0,120000.0
7,31.0,4.0,1,0,0,0,0,1,0,80000.0
8,26.0,1.0,1,0,0,0,1,0,0,45000.0
9,38.0,10.0,0,0,0,1,0,1,0,110000.0
10,29.0,3.0,0,0,1,0,0,1,0,75000.0
11,48.0,18.0,1,0,0,0,1,0,0,140000.0
12,35.0,6.0,1,0,0,0,0,1,0,65000.0
13,40.0,14.0,0,0,1,0,1,0,0,130000.0
14,27.0,2.0,1,0,0,0,0,1,0,40000.0
15,44.0,16.0,1,0,0,0,0,1,0,125000.0
16,33.0,7.0,0,0,1,0,1,0,0,90000.0
17,39.0,12.0,0,0,0,1,0,1,0,115000.0
18,25.0,0.0,1,0,0,0,1,0,0,35000.0
19,51.0,22.0,1,0,0,0,0,1,0,180000.0
20,34.0,5.0,0,0,1,0,1,0,0,80000.0
21,47.0,19.0,0,0,1,0,0,1,0,190000.0
22,30.0,2.0,1,0,0,0,0,1,0,50000.0
23,36.0,9.0,1,0,0,0,1,0,0,60000.0
24,41.0,13.0,0,0,1,0,0,1,0,140000.0
25,28.0,3.0,1,0,0,0,1,0,0,45000.0
26,37.0,11.0,0,0,1,0,1,0,0,110000.0
27,24.0,1.0,1,0,0,0,0,1,0,40000.0
28,43.0,15.0,0,0,0,1,1,0,0,140000.0
29,33.0,6.0,0,0,1,0,0,1,0,90000.0
30,50.0,25.0,1,0,0,0,0,1,0,250000.0
31,31.0,4.0,1,0,0,0,1,0,0,55000.0
32,29.0,3.0,0,0,1,0,0,1,0,75000.0
33,39.0,10.0,1,0,0,0,1,0,0,65000.0
34,46.0,20.0,0,0,0,1,0,1,0,170000.0
35,27.0,2.0,1,0,0,0,0,1,0,45000.0
36,35.0,7.0,1,0,0,0,1,0,0,60000.0
37,42.0,14.0,0,0,1,0,0,1,0,115000.0
38,26.0,1.0,1,0,0,0,1,0,0,40000.0
39,49.0,21.0,1,0,0,0,0,1,0,160000.0
40,34.0,5.0,0,0,1,0,1,0,0,80000.0
41,48.0,18.0,0,0,1,0,0,1,0,190000.0
42,30.0,3.0,1,0,0,0,0,1,0,60000.0
43,36.0,8.0,1,0,0,0,1,0,0,45000.0
44,41.0,13.0,0,0,1,0,0,1,0,130000.0
45,28.0,2.0,1,0,0,0,1,0,0,40000.0
46,32.0,5.0,1,0,0,0,0,1,0,75000.0
47,45.0,16.0,0,0,1,0,1,0,0,180000.0
48,38.0,11.0,0,0,0,1,0,1,0,120000.0
49,25.0,0.0,1,0,0,0,0,1,0,35000.0
50,51.0,22.0,1,0,0,0,1,0,0,130000.0
51,33.0,7.0,0,0,1,0,0,1,0,85000.0
52,40.0,12.0,1,0,0,0,1,0,0,60000.0
53,47.0,19.0,0,0,1,0,0,1,0,200000.0
54,29.0,3.0,1,0,0,0,1,0,0,50000.0
55,36.0,9.0,1,0,0,0,0,1,0,95000.0
56,27.0,2.0,0,0,1,0,1,0,0,65000.0
57,43.0,17.0,0,0,0,1,0,1,0,140000.0
58,30.0,4.0,1,0,0,0,1,0,0,55000.0
59,35.0,7.0,0,0,1,0,0,1,0,105000.0
60,51.0,23.0,0,0,1,0,1,0,0,170000.0
61,29.0,3.0,1,0,0,0,0,1,0,50000.0
62,40.0,12.0,1,0,0,0,1,0,0,80000.0
63,47.0,21.0,0,0,0,1,0,1,0,180000.0
64,26.0,1.0,1,0,0,0,0,1,0,35000.0
65,38.0,10.0,0,0,1,0,1,0,0,90000.0
66,46.0,19.0,1,0,0,0,0,1,0,120000.0
67,31.0,5.0,1,0,0,0,1,0,0,45000.0
68,34.0,8.0,0,0,1,0,0,1,0,90000.0
69,49.0,18.0,0,0,1,0,1,0,0,150000.0
70,33.0,6.0,1,0,0,0,0,1,0,65000.0
71,39.0,11.0,1,0,0,0,1,0,0,70000.0
72,45.0,16.0,0,0,0,1,0,1,0,190000.0
73,28.0,2.0,1,0,0,0,0,1,0,40000.0
74,42.0,14.0,0,0,1,0,1,0,0,120000.0
75,37.0,10.0,1,0,0,0,0,1,0,95000.0
76,50.0,22.0,1,0,0,0,1,0,0,160000.0
77,32.0,6.0,0,0,1,0,0,1,0,100000.0
78,48.0,20.0,0,0,1,0,1,0,0,180000.0
79,30.0,3.0,1,0,0,0,1,0,0,55000.0
80,36.0,8.0,1,0,0,0,0,1,0,70000.0
81,41.0,13.0,0,0,1,0,1,0,0,80000.0
82,25.0,0.0,1,0,0,0,0,1,0,30000.0
83,52.0,24.0,0,0,0,1,0,1,0,250000.0
84,29.0,2.0,1,0,0,0,1,0,0,40000.0
85,34.0,10.0,0,0,1,0,1,0,0,95000.0
86,27.0,2.0,1,0,0,0,0,1,0,45000.0
87,40.0,15.0,1,0,0,0,1,0,0,80000.0
88,46.0,21.0,0,0,1,0,0,1,0,135000.0
89,31.0,6.0,1,0,0,0,1,0,0,55000.0
90,36.0,11.0,0,0,0,1,0,1,0,120000.0
91,29.0,3.0,1,0,0,0,1,0,0,40000.0
92,43.0,18.0,1,0,0,0,0,1,0,105000.0
93,52.0,25.0,0,0,1,0,1,0,0,170000.0
94,33.0,7.0,1,0,0,0,0,1,0,75000.0
95,39.0,12.0,1,0,0,0,1,0,0,65000.0
96,47.0,22.0,0,0,0,1,0,1,0,160000.0
97,26.0,1.0,1,0,0,0,0,1,0,35000.0
98,38.0,10.0,0,0,1,0,1,0,0,90000.0
99,45.0,20.0,1,0,0,0,0,1,0,110000.0
100,31.0,5.0,1,0,0,0,1,0,0,45000.0
101,35.0,8.0,0,0,1,0,0,1,0,95000.0
102,49.0,19.0,0,0,1,0,1,0,0,150000.0
103,33.0,5.0,1,0,0,0,0,1,0,50000.0
104,39.0,13.0,0,0,1,0,1,0,0,80000.0
105,44.0,16.0,0,0,0,1,0,1,0,220000.0
106,30.0,3.0,1,0,0,0,1,0,0,50000.0
107,36.0,7.0,1,0,0,0,0,1,0,60000.0
108,41.0,14.0,0,0,1,0,1,0,0,100000.0
109,28.0,2.0,1,0,0,0,0,1,0,40000.0
110,42.0,15.0,0,0,1,0,1,0,0,110000.0
111,37.0,9.0,1,0,0,0,0,1,0,95000.0
112,50.0,22.0,1,0,0,0,1,0,0,130000.0
113,32.0,6.0,0,0,1,0,0,1,0,90000.0
114,23.0,0.5,1,0,0,0,1,0,0,35000.0
115,31.0,6.0,0,0,1,0,0,1,0,95000.0
116,40.0,15.0,1,0,0,0,1,0,0,65000.0
117,48.0,20.0,0,0,0,1,0,1,0,170000.0
118,29.0,3.0,1,0,0,0,1,0,0,45000.0
119,35.0,10.0,0,0,1,0,0,1,0,120000.0
120,42.0,17.0,1,0,0,0,1,0,0,100000.0
121,53.0,25.0,0,0,1,0,0,1,0,180000.0
122,33.0,5.0,1,0,0,0,1,0,0,50000.0
123,38.0,11.0,1,0,0,0,0,1,0,80000.0
124,44.0,16.0,0,0,0,1,1,0,0,140000.0
125,26.0,2.0,1,0,0,0,0,1,0,40000.0
126,37.0,9.0,0,0,1,0,1,0,0,95000.0
127,45.0,18.0,1,0,0,0,0,1,0,110000.0
128,32.0,4.0,1,0,0,0,1,0,0,50000.0
129,34.0,8.0,0,0,1,0,0,1,0,105000.0
130,50.0,21.0,0,0,1,0,1,0,0,160000.0
131,29.0,3.0,1,0,0,0,0,1,0,45000.0
132,40.0,12.0,0,0,1,0,1,0,0,100000.0
133,47.0,22.0,0,0,0,1,0,1,0,160000.0
134,27.0,1.0,1,0,0,0,0,1,0,35000.0
135,39.0,10.0,1,0,0,0,1,0,0,55000.0
136,46.0,19.0,0,0,1,0,0,1,0,140000.0
137,30.0,4.0,1,0,0,0,1,0,0,50000.0
138,36.0,7.0,1,0,0,0,0,1,0,60000.0
139,43.0,14.0,0,0,1,0,1,0,0,120000.0
140,28.0,2.0,1,0,0,0,0,1,0,40000.0
141,41.0,13.0,0,0,1,0,1,0,0,110000.0
142,33.0,5.0,1,0,0,0,0,1,0,50000.0
143,47.0,20.0,1,0,0,0,0,1,0,135000.0
144,25.0,1.5,0,0,1,0,1,0,0,40000.0
145,34.0,8.0,1,0,0,0,0,1,0,90000.0
146,42.0,16.0,0,0,0,1,1,0,0,150000.0
147,31.0,4.0,1,0,0,0,0,1,0,60000.0
148,38.0,10.0,1,0,0,0,1,0,0,80000.0
149,45.0,19.0,0,0,1,0,0,1,0,175000.0
150,29.0,3.0,1,0,0,0,1,0,0,45000.0
151,36.0,11.0,0,0,1,0,0,1,0,120000.0
152,43.0,18.0,0,0,0,1,1,0,0,140000.0
153,26.0,2.0,1,0,0,0,0,1,0,35000.0
154,37.0,9.0,0,0,1,0,1,0,0,95000.0
155,44.0,14.0,1,0,0,0,0,1,0,110000.0
156,32.0,5.0,1,0,0,0,1,0,0,50000.0
157,33.0,7.0,0,0,1,0,0,1,0,115000.0
158,51.0,23.0,0,0,0,1,1,0,0,185000.0
